vslflgctry,year,quarter,month,area,rect,subrect,focatnat,focateu5,focateu6,harbour,vsllencat,trpnum,fonum,fodur,effkwdays,effgtdays,daysatsea
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL1824,75,,,21195.94318000,3923.86363600,75
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL2440,7,,,2478.12727300,590.54545450,7
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL1218,72,,,9551.19391300,1344.52173900,72
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL1824,109,,,30804.77076000,5702.68181800,109
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_MDD_>=40_0_0,NA,VL2440,14,,,4956.25454500,1181.09090900,14
ITA,2020,4,0,GSA18,NA,NA,PS,NA,PS_SPF_>=14_0_0,NA,VL2440,212,,,93072.54286000,22684.00000000,212
ITA,2020,4,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL1218,36,,,4360.42036200,746.82608700,36
ITA,2020,4,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL1824,75,,,27694.53955000,4436.59090900,75
ITA,2020,4,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL2440,5,,,1770.09090900,421.81818180,5
ITA,2020,4,0,GSA18,NA,NA,SV,NA,SB-SV_DEF_0_0_0,NA,VL0612,22,,,696.58966950,70.39167686,22
ITA,2020,4,0,GSA18,NA,NA,SV,NA,SB-SV_DEF_0_0_0,NA,VL1218,16,,,2122.48753600,298.78260870,16
